tr|A0A016TV92|A0A016TV92_9BILA	tr|A0A016TV92|A0A016TV92_9BILA G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Ancylostoma ceylanicum OX=53326 GN=Acey_s0077.g1138 PE=3 SV=1
tr|A0A024RCH9|A0A024RCH9_HUMAN	tr|A0A024RCH9|A0A024RCH9_HUMAN Olfactory receptor OS=Homo sapiens OX=9606 GN=OR11A1 PE=3 SV=1
tr|A0A026VXN3|A0A026VXN3_OOCBI	tr|A0A026VXN3|A0A026VXN3_OOCBI 5-hydroxytryptamine receptor 2A OS=Ooceraea biroi OX=2015173 GN=X777_13239 PE=3 SV=1
tr|A0A026VY85|A0A026VY85_OOCBI	tr|A0A026VY85|A0A026VY85_OOCBI Octopamine receptor OS=Ooceraea biroi OX=2015173 GN=X777_13729 PE=4 SV=1
tr|A0A026W1W1|A0A026W1W1_OOCBI	tr|A0A026W1W1|A0A026W1W1_OOCBI Alpha-1B adrenergic receptor (Fragment) OS=Ooceraea biroi OX=2015173 GN=X777_12647 PE=3 SV=1
tr|A0A026WKA3|A0A026WKA3_OOCBI	tr|A0A026WKA3|A0A026WKA3_OOCBI Beta-3 adrenergic receptor OS=Ooceraea biroi OX=2015173 GN=DMN91_008935 PE=4 SV=1
tr|A0A034WGU3|A0A034WGU3_BACDO	tr|A0A034WGU3|A0A034WGU3_BACDO Neuromedin-U receptor 2 OS=Bactrocera dorsalis OX=27457 GN=NMUR2 PE=4 SV=1
tr|A0A044S9Q9|A0A044S9Q9_ONCVO	tr|A0A044S9Q9|A0A044S9Q9_ONCVO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Onchocerca volvulus OX=6282 PE=3 SV=1
tr|A0A044T503|A0A044T503_ONCVO	tr|A0A044T503|A0A044T503_ONCVO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Onchocerca volvulus OX=6282 PE=3 SV=1
tr|A0A044UMF0|A0A044UMF0_ONCVO	tr|A0A044UMF0|A0A044UMF0_ONCVO G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Onchocerca volvulus OX=6282 PE=4 SV=1
tr|A0A059CEC0|A0A059CEC0_EUCGR	tr|A0A059CEC0|A0A059CEC0_EUCGR Uncharacterized protein OS=Eucalyptus grandis OX=71139 GN=EUGRSUZ_D01077 PE=4 SV=1
tr|A0A059CEN6|A0A059CEN6_EUCGR	tr|A0A059CEN6|A0A059CEN6_EUCGR Uncharacterized protein OS=Eucalyptus grandis OX=71139 GN=EUGRSUZ_D01074 PE=4 SV=1
tr|A0A059CIX6|A0A059CIX6_EUCGR	tr|A0A059CIX6|A0A059CIX6_EUCGR Uncharacterized protein OS=Eucalyptus grandis OX=71139 GN=EUGRSUZ_D02562 PE=4 SV=1
tr|A0A059CJP9|A0A059CJP9_EUCGR	tr|A0A059CJP9|A0A059CJP9_EUCGR Uncharacterized protein OS=Eucalyptus grandis OX=71139 GN=EUGRSUZ_D02562 PE=4 SV=1
tr|A0A059T4D1|A0A059T4D1_9SAUR	tr|A0A059T4D1|A0A059T4D1_9SAUR Melanocortin-1 receptor (Fragment) OS=Hemidactylus homoeolepis OX=343429 GN=mc1r PE=3 SV=1
tr|A0A059T4P1|A0A059T4P1_9SAUR	tr|A0A059T4P1|A0A059T4P1_9SAUR Melanocortin-1 receptor (Fragment) OS=Hemidactylus minutus OX=1453827 GN=mc1r PE=3 SV=1
tr|A0A059T4T2|A0A059T4T2_9SAUR	tr|A0A059T4T2|A0A059T4T2_9SAUR Melanocortin-1 receptor (Fragment) OS=Hemidactylus minutus OX=1453827 GN=mc1r PE=3 SV=1
tr|A0A060A0G0|A0A060A0G0_LSDV	tr|A0A060A0G0|A0A060A0G0_LSDV G-protein-coupled chemokine receptor (Fragment) OS=Lumpy skin disease virus OX=59509 GN=GCPR PE=4 SV=1
tr|A0A060A419|A0A060A419_LSDV	tr|A0A060A419|A0A060A419_LSDV G-protein-coupled chemokine receptor (Fragment) OS=Lumpy skin disease virus OX=59509 GN=GCPR PE=4 SV=1
tr|A0A060VTM2|A0A060VTM2_ONCMY	tr|A0A060VTM2|A0A060VTM2_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00077282001 PE=4 SV=1
tr|A0A060VZB5|A0A060VZB5_ONCMY	tr|A0A060VZB5|A0A060VZB5_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00081152001 PE=4 SV=1
tr|A0A060W3J9|A0A060W3J9_ONCMY	tr|A0A060W3J9|A0A060W3J9_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00065620001 PE=4 SV=1
tr|A0A060W5H7|A0A060W5H7_ONCMY	tr|A0A060W5H7|A0A060W5H7_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00067397001 PE=4 SV=1
tr|A0A060W830|A0A060W830_ONCMY	tr|A0A060W830|A0A060W830_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00082336001 PE=4 SV=1
tr|A0A060WHJ5|A0A060WHJ5_ONCMY	tr|A0A060WHJ5|A0A060WHJ5_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00071824001 PE=4 SV=1
tr|A0A060WN43|A0A060WN43_ONCMY	tr|A0A060WN43|A0A060WN43_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00074475001 PE=3 SV=1
tr|A0A060WN59|A0A060WN59_ONCMY	tr|A0A060WN59|A0A060WN59_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00032365001 PE=3 SV=1
tr|A0A060WT35|A0A060WT35_ONCMY	tr|A0A060WT35|A0A060WT35_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00012174001 PE=4 SV=1
tr|A0A060WZD3|A0A060WZD3_ONCMY	tr|A0A060WZD3|A0A060WZD3_ONCMY Uncharacterized protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00034065001 PE=4 SV=1
tr|A0A060X2U8|A0A060X2U8_ONCMY	tr|A0A060X2U8|A0A060X2U8_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00051678001 PE=4 SV=1
tr|A0A060X628|A0A060X628_ONCMY	tr|A0A060X628|A0A060X628_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00022288001 PE=4 SV=1
tr|A0A060X6C7|A0A060X6C7_ONCMY	tr|A0A060X6C7|A0A060X6C7_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00007611001 PE=4 SV=1
tr|A0A060XG90|A0A060XG90_ONCMY	tr|A0A060XG90|A0A060XG90_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00008845001 PE=4 SV=1
tr|A0A060XH92|A0A060XH92_ONCMY	tr|A0A060XH92|A0A060XH92_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00047166001 PE=4 SV=1
tr|A0A060XHU7|A0A060XHU7_ONCMY	tr|A0A060XHU7|A0A060XHU7_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00014209001 PE=3 SV=1
tr|A0A060XNS0|A0A060XNS0_ONCMY	tr|A0A060XNS0|A0A060XNS0_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00047914001 PE=3 SV=1
tr|A0A060XSD1|A0A060XSD1_ONCMY	tr|A0A060XSD1|A0A060XSD1_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00027439001 PE=3 SV=1
tr|A0A060XTH5|A0A060XTH5_ONCMY	tr|A0A060XTH5|A0A060XTH5_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00033888001 PE=3 SV=1
tr|A0A060XVQ1|A0A060XVQ1_ONCMY	tr|A0A060XVQ1|A0A060XVQ1_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00056118001 PE=3 SV=1
tr|A0A060XW13|A0A060XW13_ONCMY	tr|A0A060XW13|A0A060XW13_ONCMY Melanocyte-stimulating hormone receptor OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00054594001 PE=3 SV=1
tr|A0A060XXP7|A0A060XXP7_ONCMY	tr|A0A060XXP7|A0A060XXP7_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00028551001 PE=4 SV=1
tr|A0A060Y4L3|A0A060Y4L3_ONCMY	tr|A0A060Y4L3|A0A060Y4L3_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00006258001 PE=4 SV=1
tr|A0A060Y7C3|A0A060Y7C3_ONCMY	tr|A0A060Y7C3|A0A060Y7C3_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00032286001 PE=4 SV=1
tr|A0A060YBZ3|A0A060YBZ3_ONCMY	tr|A0A060YBZ3|A0A060YBZ3_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00036905001 PE=3 SV=1
tr|A0A060YFF5|A0A060YFF5_ONCMY	tr|A0A060YFF5|A0A060YFF5_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00035908001 PE=3 SV=1
tr|A0A060YPZ2|A0A060YPZ2_ONCMY	tr|A0A060YPZ2|A0A060YPZ2_ONCMY Melanocyte-stimulating hormone receptor OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00019660001 PE=3 SV=1
tr|A0A060YR48|A0A060YR48_ONCMY	tr|A0A060YR48|A0A060YR48_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00057085001 PE=4 SV=1
tr|A0A060YSJ1|A0A060YSJ1_ONCMY	tr|A0A060YSJ1|A0A060YSJ1_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00005857001 PE=4 SV=1
tr|A0A060Z4U4|A0A060Z4U4_ONCMY	tr|A0A060Z4U4|A0A060Z4U4_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00004715001 PE=3 SV=1
tr|A0A060Z5T6|A0A060Z5T6_ONCMY	tr|A0A060Z5T6|A0A060Z5T6_ONCMY G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00023838001 PE=3 SV=1
tr|A0A061AP60|A0A061AP60_CYBFA	tr|A0A061AP60|A0A061AP60_CYBFA CYFA0S02e08834g1_1 OS=Cyberlindnera fabianii OX=36022 GN=CYFA0S_02e08834g PE=3 SV=1
tr|A0A061HX80|A0A061HX80_CRIGR	tr|A0A061HX80|A0A061HX80_CRIGR Olfactory receptor (Fragment) OS=Cricetulus griseus OX=10029 GN=H671_6g16682 PE=3 SV=1
tr|A0A061HYK4|A0A061HYK4_CRIGR	tr|A0A061HYK4|A0A061HYK4_CRIGR Olfactory receptor (Fragment) OS=Cricetulus griseus OX=10029 GN=H671_6g16403 PE=3 SV=1
tr|A0A061HYQ8|A0A061HYQ8_CRIGR	tr|A0A061HYQ8|A0A061HYQ8_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_6g16033 PE=3 SV=1
tr|A0A061HZ42|A0A061HZ42_CRIGR	tr|A0A061HZ42|A0A061HZ42_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_6g15592 PE=3 SV=1
tr|A0A061HZ52|A0A061HZ52_CRIGR	tr|A0A061HZ52|A0A061HZ52_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_6g15601 PE=3 SV=1
tr|A0A061HZU1|A0A061HZU1_CRIGR	tr|A0A061HZU1|A0A061HZU1_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_5g13818 PE=3 SV=1
tr|A0A061I0J8|A0A061I0J8_CRIGR	tr|A0A061I0J8|A0A061I0J8_CRIGR Olfactory receptor (Fragment) OS=Cricetulus griseus OX=10029 GN=H671_4g13343 PE=3 SV=1
tr|A0A061I101|A0A061I101_CRIGR	tr|A0A061I101|A0A061I101_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=CgPICR_015379 PE=3 SV=1
tr|A0A061I132|A0A061I132_CRIGR	tr|A0A061I132|A0A061I132_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_6g16039 PE=3 SV=1
tr|A0A061I178|A0A061I178_CRIGR	tr|A0A061I178|A0A061I178_CRIGR Olfactory receptor 10H2-like protein (Fragment) OS=Cricetulus griseus OX=10029 GN=H671_5g13783 PE=3 SV=1
tr|A0A061I1V7|A0A061I1V7_CRIGR	tr|A0A061I1V7|A0A061I1V7_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_6g16030 PE=3 SV=1
tr|A0A061I2H2|A0A061I2H2_CRIGR	tr|A0A061I2H2|A0A061I2H2_CRIGR Putative G-protein coupled receptor OS=Cricetulus griseus OX=10029 GN=H671_5g14915 PE=4 SV=1
tr|A0A061I3F1|A0A061I3F1_CRIGR	tr|A0A061I3F1|A0A061I3F1_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_4g12809 PE=3 SV=1
tr|A0A061I3S0|A0A061I3S0_CRIGR	tr|A0A061I3S0|A0A061I3S0_CRIGR C-C chemokine receptor type 1-like protein OS=Cricetulus griseus OX=10029 GN=H671_4g12715 PE=3 SV=1
tr|A0A061I4E1|A0A061I4E1_CRIGR	tr|A0A061I4E1|A0A061I4E1_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_6g15590 PE=3 SV=1
tr|A0A061IAD1|A0A061IAD1_CRIGR	tr|A0A061IAD1|A0A061IAD1_CRIGR D(4) dopamine receptor-like protein OS=Cricetulus griseus OX=10029 GN=CgPICR_009666 PE=3 SV=1
tr|A0A061IAE0|A0A061IAE0_CRIGR	tr|A0A061IAE0|A0A061IAE0_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_3g9379 PE=3 SV=1
tr|A0A061IAF9|A0A061IAF9_CRIGR	tr|A0A061IAF9|A0A061IAF9_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_3g11245 PE=3 SV=1
tr|A0A061ID76|A0A061ID76_CRIGR	tr|A0A061ID76|A0A061ID76_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_3g10731 PE=3 SV=1
tr|A0A061IE19|A0A061IE19_CRIGR	tr|A0A061IE19|A0A061IE19_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_3g9295 PE=3 SV=1
tr|A0A061IFT0|A0A061IFT0_CRIGR	tr|A0A061IFT0|A0A061IFT0_CRIGR Olfactory receptor (Fragment) OS=Cricetulus griseus OX=10029 GN=H671_1g4074 PE=3 SV=1
tr|A0A061IGA5|A0A061IGA5_CRIGR	tr|A0A061IGA5|A0A061IGA5_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_1g3631 PE=3 SV=1
tr|A0A061IH54|A0A061IH54_CRIGR	tr|A0A061IH54|A0A061IH54_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_2g6810 PE=3 SV=1
tr|A0A061IKQ6|A0A061IKQ6_CRIGR	tr|A0A061IKQ6|A0A061IKQ6_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_1g3738 PE=3 SV=1
tr|A0A061ILG0|A0A061ILG0_CRIGR	tr|A0A061ILG0|A0A061ILG0_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_1g1996 PE=3 SV=1
tr|A0A061IMT0|A0A061IMT0_CRIGR	tr|A0A061IMT0|A0A061IMT0_CRIGR Olfactory receptor 1L1-like protein OS=Cricetulus griseus OX=10029 GN=H671_1g3739 PE=3 SV=1
tr|A0A061IMY7|A0A061IMY7_CRIGR	tr|A0A061IMY7|A0A061IMY7_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_1g3630 PE=3 SV=1
tr|A0A061IPK4|A0A061IPK4_CRIGR	tr|A0A061IPK4|A0A061IPK4_CRIGR Olfactory receptor OS=Cricetulus griseus OX=10029 GN=H671_1g1982 PE=3 SV=1
tr|A0A061QG08|A0A061QG08_CUPSA	tr|A0A061QG08|A0A061QG08_CUPSA Putative alpha adrenergic receptor OS=Cupiennius salei OX=6928 GN=CSH_0211 PE=2 SV=1
tr|A0A067QQU1|A0A067QQU1_ZOONE	tr|A0A067QQU1|A0A067QQU1_ZOONE Cholecystokinin receptor OS=Zootermopsis nevadensis OX=136037 GN=L798_14455 PE=3 SV=1
tr|A0A067QYB7|A0A067QYB7_ZOONE	tr|A0A067QYB7|A0A067QYB7_ZOONE Neuropeptides capa receptor OS=Zootermopsis nevadensis OX=136037 GN=L798_10479 PE=3 SV=1
tr|A0A067R1N9|A0A067R1N9_ZOONE	tr|A0A067R1N9|A0A067R1N9_ZOONE G_PROTEIN_RECEP_F1_2 domain-containing protein (Fragment) OS=Zootermopsis nevadensis OX=136037 GN=L798_13276 PE=4 SV=1
tr|A0A067R884|A0A067R884_ZOONE	tr|A0A067R884|A0A067R884_ZOONE FMRFamide receptor OS=Zootermopsis nevadensis OX=136037 GN=L798_06179 PE=4 SV=1
tr|A0A067R9M6|A0A067R9M6_ZOONE	tr|A0A067R9M6|A0A067R9M6_ZOONE Neuromedin-B receptor OS=Zootermopsis nevadensis OX=136037 GN=L798_05062 PE=4 SV=1
tr|A0A067RGQ9|A0A067RGQ9_ZOONE	tr|A0A067RGQ9|A0A067RGQ9_ZOONE Alpha-1A adrenergic receptor (Fragment) OS=Zootermopsis nevadensis OX=136037 GN=L798_00299 PE=4 SV=1
tr|A0A067RKI4|A0A067RKI4_ZOONE	tr|A0A067RKI4|A0A067RKI4_ZOONE Endothelin B receptor OS=Zootermopsis nevadensis OX=136037 GN=L798_04333 PE=4 SV=1
tr|A0A067RSG5|A0A067RSG5_ZOONE	tr|A0A067RSG5|A0A067RSG5_ZOONE Bombesin receptor subtype-3 OS=Zootermopsis nevadensis OX=136037 GN=L798_01402 PE=4 SV=1
tr|A0A067ZG92|A0A067ZG92_MEGAM	tr|A0A067ZG92|A0A067ZG92_MEGAM Melanocortin receptor 2 OS=Megalobrama amblycephala OX=75352 GN=MC2R PE=2 SV=1
tr|A0A068BD95|A0A068BD95_CALJA	tr|A0A068BD95|A0A068BD95_CALJA Vasopressin V1a receptor (Fragment) OS=Callithrix jacchus OX=9483 GN=AVPR1a PE=3 SV=1
tr|A0A068BDA2|A0A068BDA2_LEORO	tr|A0A068BDA2|A0A068BDA2_LEORO Vasopressin V1a receptor (Fragment) OS=Leontopithecus rosalia OX=30588 GN=AVPR1a PE=3 SV=1
tr|A0A068BDB6|A0A068BDB6_ALOCA	tr|A0A068BDB6|A0A068BDB6_ALOCA Vasopressin V1a receptor (Fragment) OS=Alouatta caraya OX=9502 GN=AVPR1a PE=3 SV=1
tr|A0A068BEV1|A0A068BEV1_CALGE	tr|A0A068BEV1|A0A068BEV1_CALGE Vasopressin V1a receptor (Fragment) OS=Callithrix geoffroyi OX=52231 GN=AVPR1a PE=3 SV=1
tr|A0A068BEV5|A0A068BEV5_SAPAP	tr|A0A068BEV5|A0A068BEV5_SAPAP Vasopressin V1a receptor (Fragment) OS=Sapajus apella OX=9515 GN=AVPR1a PE=3 SV=1
tr|A0A068BEW7|A0A068BEW7_PITPI	tr|A0A068BEW7|A0A068BEW7_PITPI Vasopressin V1a receptor (Fragment) OS=Pithecia pithecia OX=43777 GN=AVPR1a PE=3 SV=1
tr|A0A068BFY3|A0A068BFY3_CALPI	tr|A0A068BFY3|A0A068BFY3_CALPI Vasopressin V1a receptor (Fragment) OS=Callithrix penicillata OX=57378 GN=AVPR1a PE=3 SV=1
tr|A0A068BG02|A0A068BG02_PLECU	tr|A0A068BG02|A0A068BG02_PLECU Vasopressin V1a receptor (Fragment) OS=Plecturocebus cupreus OX=202457 GN=AVPR1a PE=3 SV=1
tr|A0A068BGZ1|A0A068BGZ1_MICAD	tr|A0A068BGZ1|A0A068BGZ1_MICAD Vasopressin V1a receptor (Fragment) OS=Mico argentatus OX=9482 GN=AVPR1a PE=3 SV=1
tr|A0A068BGZ6|A0A068BGZ6_CALGO	tr|A0A068BGZ6|A0A068BGZ6_CALGO Vasopressin V1a receptor (Fragment) OS=Callimico goeldii OX=9495 GN=AVPR1a PE=3 SV=1
tr|A0A068BH04|A0A068BH04_AOTAZ	tr|A0A068BH04|A0A068BH04_AOTAZ Vasopressin V1a receptor (Fragment) OS=Aotus azarae OX=30591 GN=AVPR1a PE=3 SV=1
tr|A0A068BH10|A0A068BH10_ATEBE	tr|A0A068BH10|A0A068BH10_ATEBE Vasopressin V1a receptor (Fragment) OS=Ateles belzebuth OX=9507 GN=AVPR1a PE=3 SV=1
tr|A0A068BH17|A0A068BH17_CACCA	tr|A0A068BH17|A0A068BH17_CACCA Vasopressin V1a receptor (Fragment) OS=Cacajao calvus OX=30596 GN=AVPR1a PE=3 SV=1
tr|A0A068BIW6|A0A068BIW6_CALPY	tr|A0A068BIW6|A0A068BIW6_CALPY Vasopressin V1a receptor (Fragment) OS=Callithrix pygmaea OX=9493 GN=AVPR1a PE=3 SV=1
tr|A0A068BIX1|A0A068BIX1_CALKU	tr|A0A068BIX1|A0A068BIX1_CALKU Vasopressin V1a receptor (Fragment) OS=Callithrix kuhlii OX=867363 GN=AVPR1a PE=3 SV=1
tr|A0A068BIX6|A0A068BIX6_SAISC	tr|A0A068BIX6|A0A068BIX6_SAISC Vasopressin V1a receptor (Fragment) OS=Saimiri sciureus OX=9521 GN=AVPR1a PE=3 SV=1
tr|A0A068BIY0|A0A068BIY0_ATEGE	tr|A0A068BIY0|A0A068BIY0_ATEGE Vasopressin V1a receptor (Fragment) OS=Ateles geoffroyi OX=9509 GN=AVPR1a PE=3 SV=1
tr|A0A068BIY3|A0A068BIY3_9PRIM	tr|A0A068BIY3|A0A068BIY3_9PRIM Vasopressin V1a receptor (Fragment) OS=Chiropotes chiropotes OX=658221 GN=AVPR1a PE=3 SV=1
tr|A0A068EED1|A0A068EED1_9POXV	tr|A0A068EED1|A0A068EED1_9POXV G-protein-coupled receptor family protein OS=Pigeonpox virus OX=10264 GN=fep_025 PE=4 SV=1
tr|A0A069DMS9|A0A069DMS9_9CNID	tr|A0A069DMS9|A0A069DMS9_9CNID 7 transmembrane protein OS=Clytia hemisphaerica OX=252671 PE=2 SV=1
tr|A0A069DMT0|A0A069DMT0_9CNID	tr|A0A069DMT0|A0A069DMT0_9CNID Seven transmembrane protein OS=Clytia hemisphaerica OX=252671 PE=2 SV=1
tr|A0A074Z9B7|A0A074Z9B7_9TREM	tr|A0A074Z9B7|A0A074Z9B7_9TREM 7 transmembrane receptor OS=Opisthorchis viverrini OX=6198 GN=T265_14587 PE=4 SV=1
tr|A0A075ARP4|A0A075ARP4_ROZAC	tr|A0A075ARP4|A0A075ARP4_ROZAC G protein-coupled receptor, rhodopsin-like domain-containing protein OS=Rozella allomycis (strain CSF55) OX=988480 GN=O9G_004897 PE=4 SV=1
tr|A0A075C2N1|A0A075C2N1_CHILA	tr|A0A075C2N1|A0A075C2N1_CHILA Melanocortin receptor 4 OS=Chinchilla lanigera OX=34839 GN=mc4r PE=3 SV=1
tr|A0A075DBG2|A0A075DBG2_PETMA	tr|A0A075DBG2|A0A075DBG2_PETMA Vasotocin V2b hormone receptor 2 OS=Petromyzon marinus OX=7757 GN=V2b-R2 PE=2 SV=1
tr|A0A075EFC7|A0A075EFC7_9TELE	tr|A0A075EFC7|A0A075EFC7_9TELE Brain super conserved receptor 2 (Fragment) OS=Mugil hospes OX=426482 GN=sreb2 PE=4 SV=1
tr|A0A075EGK7|A0A075EGK7_CRECR	tr|A0A075EGK7|A0A075EGK7_CRECR Brain super conserved receptor 2 (Fragment) OS=Crenimugil crenilabis OX=143330 GN=sreb2 PE=4 SV=1
